,correlatoin,AAPL,MSFT,AMZN,GOOG,TSLA
2236,0.9866668564436175,15,15,40,30,0
695,0.9866538057247639,5,5,25,30,35
3986,0.9866527413196896,30,5,35,30,0
475,0.986645357707905,0,35,35,10,20
3110,0.9866410519612121,20,30,30,20,0
1621,0.986636587805848,10,20,40,30,0
2963,0.9866317929986607,20,20,25,25,10
3451,0.9866152019166322,25,10,25,35,5
2727,0.9866076824930764,20,5,25,30,20
2303,0.9865662479768732,15,20,35,15,15
2235,0.9865642008724999,15,15,40,25,5
16,0.9865640485578495,0,0,35,25,40
2365,0.9865585582322858,15,25,25,20,15
551,0.9865507050210941,0,40,35,10,15
7,0.9865362003241027,0,0,25,35,40
2888,0.9865203608841239,20,15,25,40,0
762,0.9865174208422274,5,10,30,20,35
459,0.9865129332423292,0,35,25,15,25
2295,0.9865127396729805,15,20,30,15,20
2291,0.9865045068595576,15,20,25,40,0
554,0.9865032793436217,0,40,35,25,0
2439,0.9865019471923335,15,30,25,20,10
1134,0.9865004599897447,5,35,25,15,20
1004,0.9864982350925956,5,25,40,20,10
1993,0.9864979115762431,15,0,30,25,30
1281,0.9864913499290934,5,45,30,10,10
2885,0.9864869292517792,20,15,25,25,15
3292,0.9864824774077884,25,0,25,35,15
3310,0.9864707546549439,25,0,35,25,15
1829,0.9864499272968912,10,35,30,10,15
3049,0.9864498276720999,20,25,35,20,0
1208,0.9864481999277087,5,40,25,15,15
1222,0.9864460078932421,5,40,35,20,0
2368,0.9864427989684408,15,25,25,35,0
2814,0.9864415537563624,20,10,30,20,20
2809,0.9864386371665927,20,10,25,45,0
612,0.9864272464606005,0,45,25,20,10
1210,0.9864216844051378,5,40,25,25,5
2451,0.9864150251533678,15,30,35,15,5
1148,0.986407166432135,5,35,35,10,15
2965,0.9864062907586849,20,20,25,35,0
3321,0.9864051831800934,25,0,40,35,0
1592,0.9863887281071828,10,20,25,20,25
189,0.9863868966135969,0,15,40,45,0
1283,0.98638656508677,5,45,30,20,0
3607,0.9863739948976087,25,20,30,20,5
2212,0.9863722798097802,15,15,25,45,0
2660,0.9863647291306533,20,0,30,25,25
611,0.9863631193626521,0,45,25,15,15
34,0.9863587943451826,0,0,45,40,15
1333,0.9863561744897555,10,0,40,25,25
407,0.9863432791241729,0,30,40,20,10
1542,0.986331322026831,10,15,40,20,15
2833,0.9863214149769632,20,10,40,30,0
3037,0.986320564403693,20,25,25,25,5
1896,0.986315726126107,10,40,30,10,10
1316,0.9863112953327421,10,0,30,25,35
3450,0.9863065009558235,25,10,25,30,10
898,0.9863023618259079,5,20,25,20,30
3534,0.9863016945996645,25,15,30,20,10
259,0.9862902387113547,0,20,40,40,0
408,0.9862893004654999,0,30,40,25,5
1386,0.9862889497679455,10,5,35,20,30
3042,0.9862727179172047,20,25,30,15,10
1619,0.9862667793847059,10,20,40,20,10
2072,0.9862641021662915,15,5,35,20,25
664,0.9862575850540789,5,0,40,25,30
234,0.9862553277045181,0,20,30,15,35
463,0.9862538110853202,0,35,25,35,5
1439,0.9862494197875612,10,10,25,25,30
397,0.9862481837213877,0,30,35,10,25
1064,0.9862356227112024,5,30,30,10,25
1072,0.9862319632936848,5,30,35,10,20
1006,0.9862314760480975,5,25,40,30,0
2129,0.9862277372914726,15,10,25,25,25
620,0.9862269519431827,0,45,30,25,0
624,0.9862247527712904,0,45,35,15,5
384,0.9862108094421446,0,30,25,40,5
3528,0.9861975200036974,25,15,25,30,5
3452,0.9861902413951199,25,10,25,40,0
2441,0.9861772971518519,15,30,25,30,0
3373,0.9861648360141052,25,5,25,45,0
1532,0.9861640248973461,10,15,35,15,25
1823,0.9861600877468415,10,35,25,15,15
2287,0.9861539920319362,15,20,25,20,20
1676,0.9861434041207802,10,25,25,40,0
4054,0.9861382132334665,30,10,30,25,5
3109,0.986134625940155,20,30,30,15,5
1753,0.9861281716238183,10,30,25,35,0
2012,0.9861232871066804,15,0,40,25,20
1756,0.9860987125751505,10,30,30,10,20
540,0.9860975406256275,0,40,25,30,5
4444,0.9860917032186775,35,0,30,35,0
1220,0.9860882034412449,5,40,35,10,10
3038,0.9860865891744538,20,25,25,30,0
1056,0.9860853777656129,5,30,25,15,25
841,0.9860761709124987,5,15,35,15,30
1892,0.9860706841332295,10,40,25,20,5
47,0.9860541268368123,0,5,25,30,40
781,0.9860356146315896,5,10,40,20,25
388,0.9860355796607572,0,30,30,10,30
3529,0.9860180720912544,25,15,25,35,0
35,0.9860142896944971,0,0,45,45,10
3541,0.9860077718539743,25,15,35,20,5
708,0.9859842220076378,5,5,35,20,35
333,0.9859826253602423,0,25,40,35,0
2507,0.9859811062297451,15,35,25,20,5
306,0.9859783788308875,0,25,25,45,5
3674,0.9859732137306615,25,25,30,20,0
3370,0.98596816987539,25,5,25,30,15
1597,0.9859666274720364,10,20,25,45,0
2755,0.9859636057307523,20,5,40,25,10
623,0.9859610280115334,0,45,35,10,10
676,0.9859606944986709,5,0,45,40,10
755,0.9859576044597137,5,10,25,25,35
1749,0.9859562548206005,10,30,25,15,20
4127,0.9859486016778569,30,15,30,25,0
33,0.9859377221128259,0,0,45,35,20
3320,0.9859337047233246,25,0,40,30,5
