,correlatoin,AAPL,MSFT,AMZN,GOOG,TSLA
2370,0.9820860106868863,15,25,30,5,25
935,0.9820821034724013,5,20,45,20,10
3028,0.982081878008923,20,25,20,20,15
318,0.9820787669725569,0,25,35,5,35
2504,0.9820621370369754,15,35,25,5,20
2309,0.98206062634769,15,20,40,10,15
532,0.9820586737319654,0,40,20,35,5
556,0.9820467530698147,0,40,40,5,15
2061,0.982046700746027,15,5,30,15,35
4186,0.982045725233303,30,20,25,15,10
3593,0.9820280848561289,25,20,20,25,10
3368,0.9820234739438507,25,5,25,20,25
4066,0.9820162133837371,30,10,40,20,0
338,0.9820157226221315,0,25,45,20,10
4657,0.9820132507121041,35,15,30,15,5
481,0.9820097801245536,0,35,40,5,20
3991,0.9819972598620276,30,5,40,20,5
1819,0.9819959768252028,10,35,20,35,0
4917,0.9819943383072905,40,0,25,30,5
1957,0.9819881783167225,10,45,35,0,10
2499,0.98198169899163,15,35,20,15,15
1395,0.9819753040986354,10,5,40,15,30
4712,0.9819733414828187,35,20,25,20,0
606,0.981963065971963,0,45,20,30,5
454,0.9819630634826855,0,35,20,40,5
1745,0.9819556532570405,10,30,20,40,0
4652,0.9819513444062216,35,15,25,20,5
1899,0.9819384191813991,10,40,35,0,15
2081,0.9819327274784636,15,5,40,15,25
1582,0.9819280741124199,10,20,20,20,30
3539,0.9819243538797249,25,15,35,10,15
2568,0.9819185492670677,15,40,30,0,15
151,0.9819128623613949,0,15,20,25,40
3960,0.9818973804598067,30,5,20,35,10
3546,0.9818970850301139,25,15,40,15,5
4039,0.9818950148759171,30,10,20,35,5
2277,0.9818875083989211,15,20,20,20,25
3779,0.9818838052218639,25,35,30,5,5
2560,0.9818822655088139,15,40,20,15,10
457,0.9818797772102158,0,35,25,5,35
3662,0.9818787063430839,25,25,20,25,5
1740,0.9818774050003258,10,30,20,15,25
299,0.9818692985845555,0,25,25,10,40
1369,0.9818638089130244,10,5,25,20,40
984,0.9818598213052823,5,25,30,5,35
3816,0.9818481543578028,25,40,25,10,0
4457,0.9818446791651407,35,0,40,25,0
1887,0.981842560182886,10,40,20,30,0
3158,0.9818323484229619,20,35,20,20,5
3377,0.9818232278961951,25,5,30,15,25
1046,0.9818120107744674,5,30,20,15,30
602,0.9818024207581622,0,45,20,10,25
3211,0.9818019129240184,20,40,25,5,10
3663,0.9818010546483611,25,25,20,30,0
4441,0.9817897187330726,35,0,30,20,15
3218,0.9817812939101749,20,40,35,5,0
2562,0.9817713397844952,15,40,20,25,0
1268,0.9817693352413859,5,45,20,10,20
1550,0.9817606819842886,10,15,45,20,10
4191,0.9817600476569243,30,20,30,10,10
1476,0.981748956127713,10,10,45,20,15
1153,0.9817479226496318,5,35,40,5,15
3518,0.9817353713127595,25,15,20,25,15
5063,0.9817329468191605,40,10,30,20,0
1667,0.9817310979136042,10,25,20,45,0
3360,0.9817079735493326,25,5,20,30,20
3159,0.9817044925844219,20,35,20,25,0
3983,0.9817041574975331,30,5,35,15,15
3617,0.9816996756425687,25,20,40,15,0
830,0.9816982713493986,5,15,30,10,40
340,0.981696208979579,0,25,45,30,0
3532,0.981690135296152,25,15,30,10,20
3040,0.9816897660110309,20,25,30,5,20
1905,0.9816857499770772,10,40,40,10,0
375,0.9816857193108275,0,30,20,45,5
716,0.9816811833125061,5,5,40,15,35
57,0.9816767270851271,0,5,35,15,45
1376,0.9816701185136334,10,5,30,15,40
3251,0.9816698643450082,20,45,25,5,5
4433,0.981664342142622,35,0,25,25,15
3730,0.9816607641745679,25,30,30,5,10
889,0.9816588755357417,5,20,20,20,35
689,0.9816544670677475,5,5,20,30,40
3046,0.9816530351442208,20,25,35,5,15
1627,0.9816413949574169,10,20,45,25,0
4040,0.9816320658299795,30,10,20,40,0
2430,0.9816257239636148,15,30,20,15,20
3818,0.9816154888748683,25,40,30,5,0
3666,0.9816117947787828,25,25,25,10,15
3962,0.9816098963333242,30,5,20,45,0
3471,0.9816043305053898,25,10,40,15,10
2120,0.9816008363006623,15,10,20,25,30
627,0.9815784907547505,0,45,40,5,10
1224,0.9815560525443217,5,40,40,5,10
1146,0.9815516204368105,5,35,35,0,25
2753,0.9815504044873048,20,5,40,15,20
1540,0.9815370140503494,10,15,40,10,25
2953,0.9815344875667695,20,20,20,20,20
2242,0.9815265431602278,15,15,45,25,0
4662,0.9815086317873338,35,15,35,15,0
2763,0.9815048799446535,20,5,45,25,5
2689,0.9814993907007623,20,0,45,25,10
1290,0.9814979007752741,5,45,40,10,0
3914,0.9814975284736639,30,0,40,20,10
1947,0.981485761517867,10,45,20,25,0
4113,0.9814855693750903,30,15,20,30,5
1827,0.9814795110935882,10,35,30,0,25
2520,0.9814768079250372,15,35,40,10,0
3880,0.9814729282755904,30,0,20,35,15
4584,0.9814716919789387,35,10,25,20,10
404,0.9814715043307363,0,30,40,5,25
1273,0.9814693679367889,5,45,25,0,25
850,0.9814656278761067,5,15,40,10,30
4114,0.9814628875438464,30,15,20,35,0
2795,0.9814565630840013,20,10,20,25,25
3161,0.981453147266425,20,35,25,5,15
4038,0.981441867964484,30,10,20,30,10
3967,0.981441695269286,30,5,25,20,20
1431,0.9814399849922352,10,10,20,25,35
1078,0.9814359075878626,5,30,40,5,20
369,0.9814326018310955,0,30,20,15,35
1139,0.9814218840202467,5,35,30,0,30
3328,0.9814128424809271,25,0,45,30,0
1944,0.9814126862202344,10,45,20,10,15
4254,0.98140994150959,30,25,35,10,0
1199,0.9814040280527733,5,40,20,10,25
727,0.9813893954087347,5,5,45,20,25
1833,0.9813851478128678,10,35,35,0,20
4590,0.9813804766778937,35,10,30,15,10
2146,0.9813763741706847,15,10,35,10,30
4196,0.9813742064870155,30,20,35,10,5
1012,0.9813738953353627,5,25,45,25,0
3,0.9813718622354772,0,0,20,35,45
4996,0.981371352065624,40,5,30,20,5
473,0.9813678446959868,0,35,35,0,30
5058,0.9813512410105886,40,10,25,25,0
1011,0.9813382242604709,5,25,45,20,5
2611,0.9813245887686933,15,45,20,15,5
1948,0.9813049809938829,10,45,25,0,20
4118,0.9812991143124946,30,15,25,15,15
156,0.9812983446741518,0,15,25,15,45
608,0.9812952988064042,0,45,25,0,30
3052,0.981292618018267,20,25,40,10,5
3723,0.9812847354103463,25,30,20,25,0
1626,0.9812838799522575,10,20,45,20,5
1204,0.9812776878225937,5,40,20,35,0
2232,0.9812638104110097,15,15,40,10,20
4596,0.9812609704238466,35,10,35,15,5
2285,0.9812594108795067,15,20,25,10,30
1883,0.9812559417185505,10,40,20,10,20
1406,0.9812523333760468,10,5,45,20,20
308,0.9812444328723932,0,25,30,5,40
527,0.9812308361440144,0,40,20,10,30
3975,0.9812177913637399,30,5,30,15,20
2981,0.981215469702846,20,20,40,10,10
3661,0.9812107072435993,25,25,20,20,10
1455,0.9812096120607293,10,10,35,10,35
2821,0.9812056826763388,20,10,35,10,25
3157,0.9812036714904596,20,35,20,15,10
1130,0.9811993256924054,5,35,20,40,0
2509,0.9811919222762173,15,35,30,0,20
2572,0.981189913531786,15,40,35,0,10
75,0.9811894333906308,0,5,45,20,30
693,0.981185639025405,5,5,25,20,45
2668,0.9811826179379021,20,0,35,15,30
1272,0.9811642485951361,5,45,20,30,0
2612,0.9811519244296586,15,45,20,20,0
4990,0.9811327165314807,40,5,25,25,5
1839,0.9811318893128885,10,35,40,5,10
2000,0.9811310553125978,15,0,35,15,35
5002,0.9811266613473605,40,5,35,20,0
3722,0.981105911355875,25,30,20,20,5
1590,0.9811016937371103,10,20,25,10,35
4182,0.9810929445715515,30,20,20,30,0
2960,0.981090870428558,20,20,25,10,25
218,0.9810834530305302,0,20,20,20,40
1608,0.9810829572670522,10,20,35,5,30
1747,0.9810813346225078,10,30,25,5,30
3253,0.9810633642131312,20,45,30,0,5
3214,0.9810579709548634,20,40,30,0,10
3096,0.9810548048122869,20,30,20,15,15
65,0.9810544173743575,0,5,40,15,40
182,0.9810531301749964,0,15,40,10,35
2165,0.9810517926813968,15,10,45,20,10
1768,0.9810483534532546,10,30,40,5,15
3209,0.9810301048290634,20,40,20,20,0
2839,0.9810289510582847,20,10,45,25,0
2301,0.9810248029305785,15,20,35,5,25
465,0.9810224851621236,0,35,30,0,35
2436,0.9810218693820015,15,30,25,5,25
2620,0.981008849554535,15,45,35,0,5
414,0.9810050766880429,0,30,45,20,5
3439,0.9810048306835114,25,10,20,25,20
3734,0.9809903585430017,25,30,35,5,5
748,0.9809771720848167,5,10,20,25,40
699,0.9809731455029624,5,5,30,15,45
2803,0.9809700316997169,20,10,25,15,30
3959,0.9809650377317847,30,5,20,30,15
4426,0.9809525652198801,35,0,20,40,5
3671,0.9809509771330702,25,25,30,5,15
337,0.9809494607593124,0,25,45,15,15
1052,0.9809386524179795,5,30,20,45,0
263,0.9809340096271328,0,20,45,15,20
2127,0.9809239363197028,15,10,25,15,35
4295,0.9809050294853179,30,30,25,10,5
3308,0.9809019429391245,25,0,35,15,25
42,0.9808982477517832,0,5,20,30,45
3208,0.9808958094886776,20,40,20,15,5
163,0.9808784123141099,0,15,30,10,45
3117,0.9808709982403665,20,30,40,10,0
1661,0.9808681711578859,10,25,20,15,30
3592,0.9808671957988305,25,20,20,20,15
2514,0.9808655931357216,15,35,35,0,15
4181,0.9808648011047415,30,20,20,25,5
1289,0.9808574037248395,5,45,40,5,5
2644,0.9808528137280402,20,0,20,30,30
4124,0.9808507743119573,30,15,30,10,15
4130,0.9808496986373563,30,15,35,10,10
5339,0.9808461994140832,45,0,30,25,0
2241,0.9808414286530028,15,15,45,20,5
3394,0.980826320830603,25,5,40,15,15
2355,0.9808190452996821,15,25,20,15,25
1054,0.9808099131012094,5,30,25,5,35
3782,0.980805778276032,25,35,35,5,0
2613,0.9807994484449943,15,45,25,0,15
915,0.9807989074031098,5,20,35,5,35
1979,0.980798039015894,15,0,20,30,35
2559,0.980784053591711,15,40,20,10,15
2091,0.9807754894561448,15,5,45,20,15
4112,0.980774124521516,30,15,20,25,10
4761,0.9807679551078645,35,25,25,15,0
4335,0.9807675922588781,30,35,25,10,0
4427,0.9807541428173558,35,0,20,45,0
1322,0.9807504935068638,10,0,35,15,40
2610,0.98073055181289,15,45,20,10,10
415,0.9807257696763352,0,30,45,25,0
4505,0.9807119411711532,35,5,20,40,0
1904,0.9807098059795072,10,40,40,5,5
769,0.9807090673042317,5,10,35,10,40
2197,0.980699298215131,15,15,20,20,30
4711,0.9806981623019854,35,20,25,15,5
3447,0.9806949274940434,25,10,25,15,25
3463,0.9806948802577001,25,10,35,10,20
934,0.9806865670163872,5,20,45,15,15
3676,0.9806769379223453,25,25,35,5,10
4930,0.9806760290549794,40,0,35,20,5
4504,0.980675512724231,35,5,20,35,5
2906,0.9806435993374469,20,15,40,10,15
1814,0.9806399294727657,10,35,20,10,25
3815,0.9806354068066114,25,40,25,5,5
3101,0.9806285966021011,20,30,25,5,20
1001,0.980625194347524,5,25,40,5,25
2974,0.9806213647222229,20,20,35,5,20
896,0.9806211910206352,5,20,25,10,40
3282,0.9806074528910879,25,0,20,30,25
966,0.9806031758368744,5,25,20,15,35
3598,0.9805935481214947,25,20,25,10,20
1124,0.9805822621672591,5,35,20,10,30
4764,0.9805728545831297,35,25,30,10,0
4245,0.9805695072506457,30,25,25,10,10
1437,0.9805597075132383,10,10,25,15,40
3165,0.980556738572082,20,35,30,0,15
3773,0.9805500616249772,25,35,20,20,0
4923,0.9805475173595318,40,0,30,20,10
2874,0.9805455607022401,20,15,20,20,25
1504,0.9805435145956529,10,15,20,20,35
4510,0.9805396401363686,35,5,25,20,15
4524,0.9805344984395648,35,5,35,15,10
4242,0.9805127243721559,30,25,20,25,0
3775,0.9805062981729922,25,35,25,5,10
1010,0.9804781895550164,5,25,45,15,10
4579,0.9804768073258646,35,10,20,35,0
413,0.9804707289521075,0,30,45,15,10
4916,0.9804664911676415,40,0,25,25,10
1888,0.9804641538126574,10,40,25,0,25
1693,0.9804633559946774,10,25,40,5,20
2293,0.9804605966386589,15,20,30,5,30
3027,0.9804530701826244,20,25,20,15,20
4425,0.9804467027137191,35,0,20,35,10
1304,0.9804459277489382,10,0,20,30,40
327,0.9804381155291266,0,25,40,5,30
193,0.980428090722301,0,15,45,15,25
1205,0.9804124766385398,5,40,25,0,30
860,0.9804019876359686,5,15,45,15,20
4531,0.9803942761602167,35,5,40,20,0
2812,0.9803846698549381,20,10,30,10,30
4136,0.980382200765209,30,15,40,15,0
2498,0.9803761795312754,15,35,20,10,20
3327,0.980363730381402,25,0,45,25,5
4715,0.9803624348844302,35,20,30,10,5
4298,0.9803546378145801,30,30,30,5,5
4337,0.9803526263129395,30,35,30,5,0
2136,0.9803422400168011,15,10,30,10,35
1761,0.9803346594066964,10,30,35,0,25
1702,0.9803170868151505,10,25,45,20,0
4065,0.9803141320675702,30,10,40,15,5
5121,0.9803093717852011,40,15,30,15,0
5117,0.9803077692445467,40,15,25,20,0
2454,0.9803067107610272,15,30,40,5,10
5333,0.9803050711227855,45,0,25,30,0
1599,0.9803037074269738,10,20,30,5,35
2650,0.9803003356152199,20,0,25,20,35
3905,0.9802867787812886,30,0,35,15,20
3846,0.9802828425568866,25,45,25,5,0
4517,0.9802812554796541,35,5,30,15,15
2967,0.9802806269792741,20,20,30,5,25
1070,0.9802782040749887,5,30,35,0,30
1342,0.9802765589910905,10,0,45,20,25
4037,0.9802441549652156,30,10,20,25,15
2010,0.980242275404207,15,0,40,15,30
3289,0.9802373288591512,25,0,25,20,30
607,0.980222981779486,0,45,20,35,0
91,0.9802163604711087,0,10,20,25,45
377,0.9802114961677295,0,30,25,5,40
448,0.9802062826433182,0,35,20,10,35
672,0.9801989552906175,5,0,45,20,30
4578,0.9801951610992675,35,10,20,30,5
2563,0.9801774579643551,15,40,25,0,20
242,0.9801767708551777,0,20,35,5,40
4651,0.9801648135491289,35,15,25,15,10
3721,0.9801634043881989,25,30,20,15,10
2519,0.980160275483593,15,35,40,5,5
3403,0.980149571581094,25,5,45,25,0
2317,0.9801417461124073,15,20,45,20,0
3249,0.9801292490073241,20,45,20,15,0
4456,0.9801159961372723,35,0,40,20,5
533,0.980112493354342,0,40,20,40,0
1087,0.9801046977500931,5,30,45,20,0
3772,0.9801040505684065,25,35,20,15,5
2717,0.980098220708895,20,5,20,25,30
4044,0.9800964802434052,30,10,25,15,20
3455,0.9800953386978337,25,10,30,10,25
1625,0.9800927584803837,10,20,45,15,10
3217,0.9800850422890839,20,40,35,0,5
815,0.9800814276408285,5,15,20,20,40
3517,0.9800799375503835,25,15,20,20,20
2678,0.9800754819749569,20,0,40,15,25
1331,0.9800731019725881,10,0,40,15,35
3879,0.980059962822015,30,0,20,30,20
1984,0.98005025985522,15,0,25,20,40
2046,0.9800494500941457,15,5,20,25,35
1754,0.9800464284043454,10,30,30,0,30
654,0.9800451257777225,5,0,35,15,45
2448,0.9800411573633022,15,30,35,0,20
4647,0.9800393894493683,35,15,20,30,0
5057,0.9800391798255192,40,10,25,20,5
1465,0.98003591253649,10,10,40,10,30
1549,0.9800316595280136,10,15,45,15,15
291,0.980027662161034,0,25,20,15,40
534,0.9800257572416515,0,40,25,0,35
4241,0.9800231929694463,30,25,20,20,5
3616,0.9800203199582481,25,20,40,10,5
2021,0.9800173123859882,15,0,45,20,20
2838,0.9800116351721719,20,10,45,20,5
3169,0.9799912451055587,20,35,35,0,10
3207,0.979986783733362,20,40,20,10,10
1267,0.9799860078053857,5,45,20,5,25
2155,0.9799815107003097,15,10,40,10,25
2442,0.97997828290806,15,30,30,0,25
1445,0.9799712567407601,10,10,30,10,40
2762,0.9799571444858178,20,5,45,20,10
3250,0.9799511285874077,20,45,25,0,10
2383,0.9799497645691363,15,25,40,5,15
4503,0.9799170526811587,35,5,20,30,10
2658,0.9799128954879989,20,0,30,15,35
3725,0.9798995957389719,25,30,25,5,15
5062,0.9798952904429489,40,10,30,15,5
4180,0.9798847111228463,30,20,20,20,10
753,0.9798813047287653,5,10,25,15,45
109,0.9798793881662956,0,10,35,10,45
395,0.9798753074713926,0,30,35,0,35
3610,0.9798706331472986,25,20,35,5,15
3681,0.979869687219088,25,25,40,10,0
4249,0.9798687281311356,30,25,30,5,10
3887,0.9798585636747428,30,0,25,20,25
626,0.9798552591585556,0,45,40,0,15
3817,0.9798469471460128,25,40,30,0,5
3298,0.979843335043508,25,0,30,15,30
3359,0.9798424382715005,25,5,20,25,25
4058,0.9798423513762266,30,10,35,10,15
1943,0.979826669265353,10,45,20,5,20
224,0.9798222892470393,0,20,25,10,45
455,0.9798216513617234,0,35,20,45,0
601,0.9798197988874447,0,45,20,5,30
905,0.9798135952460798,5,20,30,5,40
639,0.9798000591786366,5,0,20,30,45
3156,0.9797888311686951,20,35,20,10,15
30,0.9797878915010747,0,0,45,20,35
1961,0.9797802667175549,10,45,40,5,0
1086,0.9797741353975219,5,30,45,15,5
1062,0.9797730876423879,5,30,30,0,35
3660,0.9797684187342507,25,25,20,15,15
555,0.9797682658536985,0,40,40,0,20
4185,0.9797658933066388,30,20,25,10,15
3604,0.9797611738794412,25,20,30,5,20
3990,0.9797595197188111,30,5,40,15,10
779,0.9797495336928908,5,10,40,10,35
4719,0.9797302121141546,35,20,35,10,0
3248,0.9797219690043376,20,45,20,10,5
4292,0.979712653540551,30,30,20,20,0
1363,0.9796989725324865,10,5,20,25,40
3545,0.9796750506909865,25,15,40,10,10
4656,0.9796738213610643,35,15,30,10,10
3255,0.9796724484205434,20,45,35,0,0
1701,0.979659224018193,10,25,45,15,5
1991,0.9796590098870954,15,0,30,15,40
790,0.9796293696776469,5,10,45,15,25
3847,0.9796243217573916,25,45,30,0,0
5405,0.9795874190513862,45,5,30,20,0
3813,0.9795873554731335,25,40,20,15,0
2829,0.9795832510633672,20,10,40,10,20
2914,0.9795784900818592,20,15,45,20,0
3778,0.9795726726392566,25,35,30,0,10
662,0.9795716231273385,5,0,40,15,40
1739,0.9795705111431728,10,30,20,10,30
3317,0.9795700659359015,25,0,40,15,20
2276,0.9795681767653068,15,20,20,15,30
3106,0.9795656084159865,20,30,30,0,20
812,0.9795508701129441,5,15,15,40,25
3210,0.9795500827528711,20,40,25,0,15
215,0.9795422293937124,0,20,15,40,25
287,0.9795356982543587,0,25,15,35,25
5067,0.9795315337039879,40,10,35,15,0
885,0.979530966292671,5,20,15,40,20
961,0.979519903759384,5,25,15,35,20
2362,0.9795163307761221,15,25,25,5,30
2429,0.9795119450627237,15,30,20,10,25
2576,0.9795073506948364,15,40,40,5,0
490,0.9795061413244619,0,35,45,20,0
4646,0.979502134598675,35,15,20,25,5
489,0.9794963189780777,0,35,45,15,5
884,0.9794952947612527,5,20,15,35,25
1223,0.9794908171423498,5,40,40,0,15
1308,0.9794906474724302,10,0,25,20,45
1475,0.9794798589508324,10,10,45,15,20
4051,0.9794720241444856,30,10,30,10,20
4910,0.9794589329509773,40,0,20,40,0
3896,0.9794475334438596,30,0,30,15,25
1500,0.9794389602465229,10,15,15,40,20
129,0.9794375837677473,0,10,45,15,30
4301,0.9794359211157848,30,30,35,5,0
4661,0.979431004288945,35,15,35,10,5
746,0.979425715317773,5,10,15,45,25
2688,0.9794188397376762,20,0,45,20,15
1581,0.9794183778069088,10,20,20,15,35
5400,0.9794115828591333,45,5,25,25,0
2882,0.9794051185921954,20,15,25,10,30
2952,0.9794041673788745,20,20,20,15,25
3111,0.9793952777132509,20,30,35,0,15
4707,0.9793902515710232,35,20,20,25,0
1616,0.9793833128109203,10,20,40,5,25
148,0.9793786577511137,0,15,15,40,30
1576,0.9793770624571887,10,20,15,35,20
149,0.9793697422969451,0,15,15,45,25
2205,0.9793681180633287,15,15,25,10,35
1669,0.9793670411913273,10,25,25,5,35
813,0.9793623570777067,5,15,15,45,20
4253,0.9793509041453591,30,25,35,5,5
1288,0.9793464192451653,5,45,40,0,10
363,0.9793411419415351,0,30,15,30,25
2609,0.9793392344936416,15,45,20,5,15
4448,0.9793358850123676,35,0,35,15,15
3033,0.979335306875536,20,25,25,5,25
364,0.9793329429925263,0,30,15,35,20
214,0.9793247328684912,0,20,15,35,30
924,0.9793231881479176,5,20,40,5,30
1039,0.9793201259213188,5,30,15,30,20
1428,0.9793194833988863,10,10,15,45,20
150,0.9793170791815874,0,15,20,20,45
4989,0.9793170330302936,40,5,25,20,10
2240,0.979314999821861,15,15,45,15,10
4800,0.9793130821159215,35,30,25,10,0
1045,0.979310720034766,5,30,20,10,35
4111,0.9793009404753119,30,15,20,20,15
288,0.9792986027139329,0,25,15,40,20
2223,0.9792916266709552,15,15,35,5,30
2743,0.9792887601120698,20,5,35,10,30
3958,0.9792800866993385,30,5,20,25,20
760,0.9792758809247848,5,10,30,10,45
90,0.9792525362251395,0,10,15,45,30
960,0.979249998504887,5,25,15,30,25
2070,0.9792475352357011,15,5,35,10,35
1427,0.9792356232947848,10,10,15,40,25
1577,0.9792339623314607,10,20,15,40,15
4334,0.9792213544137242,30,35,25,5,5
1655,0.979213622749665,10,25,15,35,15
3116,0.979209984084245,20,30,40,5,5
4424,0.9792091743676052,35,0,20,30,15
4760,0.9791948266354025,35,25,25,10,5
442,0.9791803211695683,0,35,15,30,20
480,0.9791746403793384,0,35,40,0,25
4577,0.979173918173227,35,10,20,25,10
4583,0.979173491436621,35,10,25,15,15
745,0.9791644087279016,5,10,15,40,30
1361,0.9791631699644621,10,5,15,45,25
386,0.9791623383189565,0,30,30,0,40
4432,0.9791622598884638,35,0,25,20,20
1882,0.9791555938521644,10,40,20,5,25
4984,0.979152832696124,40,5,20,35,0
2316,0.9791511730773718,15,20,45,15,5
1820,0.979148416658367,10,35,25,0,30
1530,0.9791346412040342,10,15,35,5,35
3095,0.9791322597977237,20,30,20,10,20
4365,0.9791301172207818,30,40,25,5,0
1040,0.9791288575252773,5,30,15,35,15
118,0.9791264814058356,0,10,40,10,40
1152,0.9791258991264309,5,35,40,0,20
1499,0.9791256974471153,10,15,15,35,25
1654,0.9791247671879924,10,25,15,30,20
2794,0.9791221950185733,20,10,20,20,30
4909,0.9791201985365284,40,0,20,35,5
3524,0.979116801230033,25,15,25,10,25
2898,0.9791072136108945,20,15,35,5,25
1198,0.9791066136501517,5,40,20,5,30
962,0.979102019301552,5,25,15,40,15
2308,0.9790948348392927,15,20,40,5,20
687,0.9790891696736724,5,5,15,45,30
412,0.9790885717809534,0,30,45,10,15
216,0.9790863493334664,0,20,15,45,20
1314,0.9790854023137527,10,0,30,15,45
3051,0.9790826989811722,20,25,40,5,10
286,0.9790818147985952,0,25,15,30,30
2119,0.979080269406971,15,10,20,20,35
2503,0.9790771155212058,15,35,25,0,25
1501,0.9790740142077577,10,15,15,45,15
811,0.9790579438381184,5,15,15,35,30
688,0.9790504382554979,5,5,20,25,45
2192,0.9790407510422916,15,15,15,40,15
5001,0.9790271162318164,40,5,35,15,5
336,0.9790236039172074,0,25,45,10,20
5166,0.979023490085744,40,20,25,15,0
2115,0.9790222382819586,15,10,15,40,20
4995,0.9790133891117304,40,5,30,15,10
1511,0.979008903997479,10,15,25,10,40
1733,0.9790039273142171,10,30,15,30,15
232,0.9789948713299758,0,20,30,5,45
3385,0.9789937232113142,25,5,35,10,25
2164,0.9789862700436572,15,10,45,15,15
5338,0.978978912462528,45,0,30,20,5
1118,0.9789680790296448,5,35,15,30,15
2270,0.9789678192579377,15,20,15,35,15
888,0.9789580401412215,5,20,20,15,40
2043,0.978957248730494,15,5,15,45,20
5332,0.978953055449323,45,0,25,25,5
4291,0.9789512139915865,30,30,20,15,5
441,0.9789494342087458,0,35,15,25,25
2116,0.9789317045230485,15,10,15,45,15
3591,0.9789239583330015,25,20,20,15,20
1117,0.9789224700245011,5,35,15,25,20
252,0.97891797375856,0,20,40,5,35
2724,0.9789117384425048,20,5,25,15,35
2191,0.9789042159262826,15,15,15,35,20
4190,0.978900651935654,30,20,30,5,15
886,0.9788966424640376,5,20,15,45,15
974,0.9788909551896555,5,25,25,5,40
3922,0.978890691748203,30,0,45,25,0
1131,0.9788848587822533,5,35,25,0,35
2558,0.9788789512962865,15,40,20,5,20
3771,0.9788766496508359,25,35,20,10,10
1384,0.9788733222461607,10,5,35,10,40
5344,0.9788655014240726,45,0,35,20,0
3812,0.9788635136674716,25,40,20,10,5
3438,0.9788552484956712,25,10,20,20,25
1903,0.9788551212739451,10,40,40,0,10
3470,0.9788391188032042,25,10,40,10,15
3367,0.9788388854707396,25,5,25,15,30
4294,0.9788339680113652,30,30,25,5,10
3173,0.9788328271832083,20,35,40,5,0
520,0.9788315611856219,0,40,15,25,20
1575,0.9788244331744936,10,20,15,30,25
3665,0.9788214259005789,25,25,25,5,20
89,0.9788112328709057,0,10,15,40,35
3729,0.9788064291186341,25,30,30,0,15
1038,0.978805879676661,5,30,15,25,25
3402,0.9787966382915501,25,5,45,20,5
1685,0.9787954369045516,10,25,35,0,30
4195,0.978771692219344,30,20,35,5,10
4240,0.9787641842021546,30,25,20,15,10
1009,0.9787617910756039,5,25,45,10,15
3781,0.9787615361872563,25,35,35,0,5
883,0.9787608551705869,5,20,15,30,30
3845,0.9787594473080226,25,45,25,0,5
21,0.9787424699091366,0,0,40,15,45
41,0.9787378305261762,0,5,15,45,35
368,0.9787362336440075,0,30,20,10,40
526,0.978735156517757,0,40,20,5,35
1430,0.9787323621415366,10,10,20,20,40
1775,0.9787293485474348,10,30,45,15,0
3913,0.9787244052483599,30,0,40,15,15
2376,0.9787241064612537,15,25,35,0,25
4440,0.9787236523784988,35,0,30,15,20
1838,0.9787212099959571,10,35,40,0,15
443,0.9787144179786932,0,35,15,35,15
4802,0.9787043085505704,35,30,30,5,0
5116,0.9787042055524074,40,15,25,15,5
2348,0.9787038663906599,15,25,15,30,15
147,0.9787036476005213,0,15,15,35,35
4332,0.9786831362583875,30,35,20,15,0
4601,0.9786803376331743,35,10,40,15,0
1732,0.9786729411002607,10,30,15,25,20
3160,0.9786680087812478,20,35,25,0,20
2052,0.9786673797147344,15,5,25,15,40
488,0.9786534160609733,0,35,45,10,10
2271,0.9786495150348665,15,20,15,40,10
4595,0.9786475417264753,35,10,35,10,10
365,0.9786459372336928,0,30,15,40,15
5052,0.9786430457511472,40,10,20,30,0
362,0.9786408461128978,0,30,15,25,30
839,0.978639969972588,5,15,35,5,40
1734,0.9786331682780927,10,30,15,35,10
3478,0.9786285134391444,25,10,45,20,0
1360,0.978627459341906,10,5,15,40,30
5169,0.9786267517079218,40,20,30,10,0
3819,0.9786239832135719,25,40,35,0,0
1656,0.9786186335435805,10,25,15,40,10
2349,0.9786151285144902,15,25,15,35,10
1193,0.9786104791588601,5,40,15,25,15
1302,0.9786083309057946,10,0,15,45,30
4710,0.9786073469448793,35,20,25,10,10
1085,0.9786002534140841,5,30,45,10,10
521,0.9785970850989862,0,40,15,30,15
2042,0.9785968081119708,15,5,15,40,25
1808,0.9785956894861682,10,35,15,25,15
2269,0.9785941950089643,15,20,15,30,20
4706,0.9785870172811051,35,20,20,20,5
1976,0.9785822710116432,15,0,15,45,25
3814,0.9785807715593042,25,40,25,0,10
3538,0.9785787292736554,25,15,35,5,20
1160,0.9785739263464746,5,35,45,15,0
4983,0.978564231045921,40,5,20,30,5
2789,0.9785223400317098,20,10,15,40,15
3247,0.9785221252019628,20,45,20,5,10
992,0.9785207199817938,5,25,35,0,35
4757,0.9785199088814035,35,25,20,20,0
4589,0.9785135128591179,35,10,30,10,15
2193,0.9785030372128368,15,15,15,45,10
4117,0.9785010099157064,30,15,25,10,20
2390,0.9784918635202822,15,25,45,15,0
3326,0.9784798054995405,25,0,45,20,10
1960,0.9784779016721575,10,45,40,0,5
4200,0.978475671748304,30,20,40,10,0
2713,0.9784695242377215,20,5,15,45,15
1426,0.9784632963930107,10,10,15,35,30
262,0.978462531929949,0,20,45,10,25
1809,0.9784594798509112,10,35,15,30,10
